Angle,Counting_time,scattered_gamma_ray_energy,scattered_gamma_ray_energy_uncer,photopeak_net_area,photopeak_net_area_uncer
20,158.56,597,56,12616,343
25,221.78,573,65,15240,430
30,290.38,549,55,17925,456
35,208.42,518,50,10484,368
40,318.50,487,54,15680,467
45,307.54,470,55,13043,437
50,390.84,439,54,14791,499
55,706.66,416,52,24188,598
60,446.52,390,49,14105,474
65,466.00,371,44,14757,460
70,359.30,348,41,10067,393
75,713.38,332,38,19027,470
80,467.74,316,37,11828,383
85,420.62,300,35,10227,347
90,3029.70,284,35,73551,1082
