,Angle,Angle_Error,Diff_Cross_Section,Diff_Cross_Section_Uncer,Diff_Cross_Section_Th,Percent
0,0.349,0.017,8.527,0.936,6.465,31.9
1,0.436,0.017,7.03,0.906,5.806,21.1
2,0.524,0.017,6.017,0.692,5.132,17.2
3,0.611,0.017,4.591,0.517,4.484,2.4
4,0.698,0.017,4.189,0.527,3.887,7.8
5,0.785,0.017,3.467,0.459,3.359,3.2
6,0.873,0.017,2.863,0.395,2.904,-1.4
7,0.96,0.017,2.437,0.336,2.522,-3.4
8,1.047,0.017,2.09,0.293,2.208,-5.3
9,1.134,0.017,1.98,0.264,1.955,1.3
10,1.222,0.017,1.63,0.217,1.753,-7.0
11,1.309,0.017,1.471,0.187,1.594,-7.8
12,1.396,0.017,1.319,0.172,1.472,-10.4
13,1.484,0.017,1.195,0.156,1.379,-13.3
14,1.571,0.017,1.122,0.15,1.309,-14.3
