Mass (Kg);Mass Error (Kg);Force Sensor Voltage (Volts);Force Sensor Voltage Error (Volts)
5.01E-02;5.00E-06;2.40E+00;1.07E-03
5.52E-02;5.00E-06;2.39E+00;1.12E-03
6.01E-02;5.00E-06;2.38E+00;1.08E-03
6.52E-02;5.00E-06;2.37E+00;1.06E-03
7.02E-02;5.00E-06;2.36E+00;1.09E-03
7.53E-02;5.00E-06;2.35E+00;1.15E-03
8.02E-02;5.00E-06;2.34E+00;1.19E-03
8.53E-02;5.00E-06;2.33E+00;1.20E-03
9.00E-02;5.00E-06;2.32E+00;1.20E-03
9.51E-02;5.00E-06;2.31E+00;1.09E-03
1.00E-01;5.00E-06;2.30E+00;1.07E-03
1.05E-01;5.00E-06;2.29E+00;1.18E-03
1.10E-01;5.00E-06;2.28E+00;1.18E-03
1.15E-01;5.00E-06;2.27E+00;1.26E-03
1.20E-01;5.00E-06;2.26E+00;1.20E-03
1.25E-01;5.00E-06;2.25E+00;1.20E-03
1.30E-01;5.00E-06;2.24E+00;1.23E-03
1.36E-01;5.00E-06;2.23E+00;1.21E-03
1.40E-01;5.00E-06;2.22E+00;1.26E-03
1.46E-01;5.00E-06;2.21E+00;1.28E-03
1.51E-01;5.00E-06;2.20E+00;1.24E-03
1.56E-01;5.00E-06;2.19E+00;1.24E-03
1.61E-01;5.00E-06;2.18E+00;1.40E-03
1.66E-01;5.00E-06;2.18E+00;1.23E-03
1.71E-01;5.00E-06;2.17E+00;1.20E-03
1.76E-01;5.00E-06;2.16E+00;1.30E-03
1.81E-01;5.00E-06;2.15E+00;1.41E-03
1.86E-01;5.00E-06;2.14E+00;1.39E-03
1.91E-01;5.00E-06;2.13E+00;1.46E-03
1.96E-01;5.00E-06;2.12E+00;1.23E-03
2.01E-01;5.00E-06;2.11E+00;1.30E-03
2.06E-01;5.00E-06;2.10E+00;1.13E-03
2.11E-01;5.00E-06;2.09E+00;1.35E-03
2.16E-01;5.00E-06;2.08E+00;1.08E-03
2.21E-01;5.00E-06;2.07E+00;1.23E-03
2.26E-01;5.00E-06;2.06E+00;1.52E-03
2.31E-01;5.00E-06;2.05E+00;1.36E-03
2.36E-01;5.00E-06;2.04E+00;1.50E-03
2.41E-01;5.00E-06;2.03E+00;1.31E-03
2.46E-01;5.00E-06;2.02E+00;1.94E-03
2.51E-01;5.00E-06;2.01E+00;1.23E-03
