,0,1,2,3
0,0,3.00E-05,0.00029,7.00E-07
1,0.1,5.00E-05,0.00041,1.30E-06
2,0.2,0.00012,0.0005,2.90E-06
3,0.3,0.00022,0.00061,5.00E-06
4,0.4,0.00034,0.00073,7.80E-06
5,0.5,0.00047,0.00085,1.11E-05
6,0.6,0.00059,0.00096,1.46E-05
7,0.7,0.00071,0.0011,1.85E-05
8,0.8,0.00081,0.00125,2.28E-05
9,0.9,0.0009,0.00141,2.73E-05
10,1,0.00097,0.00156,3.19E-05
11,1.1,0.00102,0.00172,3.65E-05
12,1.2,0.00105,0.0019,4.15E-05
13,1.3,0.00107,0.00207,4.64E-05
14,1.4,0.00109,0.00227,5.21E-05
15,1.5,0.00108,0.00246,5.74E-05
16,1.6,0.00107,0.002635,6.29E-05
17,1.7,0.00105,0.00283,6.84E-05
18,1.8,0.00103,0.00288,7.40E-05
19,1.9,0.00104,0.00319,7.35E-05
20,2,0.00101,0.00338,7.93E-05
21,2.5,0.00084,0.00432,0.0001158
22,3,0.00077,0.00534,0.0001465
23,3.5,0.00073,0.0066,0.0001783
24,4,0.00073,0.00805,0.000212
25,4.5,0.00073,0.00967,0.000244
26,5,0.00075,0.01142,0.000278
27,5.5,0.00077,0.01326,0.000312
28,6,0.0008,0.01507,0.000347
29,6.5,0.00086,0.01679,0.000383
30,7,0.00092,0.01826,0.000421
31,7.5,0.001,0.01995,0.000461
32,8,0.0011,0.0217,0.000502
33,8.5,0.00123,0.0238,0.000544
34,9,0.0014,0.0262,0.000586
35,9.5,0.00162,0.0286,0.000629
36,10,0.00192,0.0309,0.000674
