I,V
0.6,-8.6
0.99,-13.4
1.28,-17.2
1.66,-22
1.87,-24.8
1.94,-25.7
2.08,-27.5
2.35,-31
2.58,-33.9
2.75,-36.2
2.83,-37.1
2.93,-38.4
3.16,-41.5
3.37,-44.2
3.66,-47.9
3.88,-50.7
3.98,-52
4.12,-53.9
4.31,-56.3
4.4,-57.5
4.47,-58.4
4.64,-60.6
4.84,-63
5,-65.2
5.14,-67
5.19,-67.5
5.34,-69.5
5.49,-71.5
5.57,-72.5
5.78,-75.2
6.05,-78.8
6.24,-81.2
6.31,-82.1
6.42,-83.4
6.62,-86.1
6.76,-87.9
6.95,-90.3
7.18,-93.2
7.4,-96
7.56,-98.2
7.68,-99.6
7.84,-101.7
8.07,-104.6
8.21,-106.3
8.37,-108.3
8.51,-110.2
8.69,-112.3
8.88,-114.5
9.04,-116.4
9.19,-118
